CustomerID,CustomerName,InvoiceCount,CustomerType,NetRevenue,AverageOrderValue,AverageBasketSize,UnitsSold
27039,Susan Green,63,Repeat Customer,19269.40,305.86,7.0000,441
25011,Telly Pollard,71,Repeat Customer,24696.50,347.84,7.0000,497
94024,Jon Rangel,69,Repeat Customer,81528.63,1181.57,24.0000,1656
73966,Carol Gilmore,71,Repeat Customer,61107.12,860.66,19.0000,1349
32653,Terra Carter,60,Repeat Customer,29740.18,495.67,9.0000,540
28663,Alexis Austin,70,Repeat Customer,28541.01,407.73,8.0000,560
46674,Jeff Curry,73,Repeat Customer,43434.42,594.99,12.0000,876
12687,Whitney Sullivan,68,Repeat Customer,14650.82,215.45,4.0000,272
89009,Tracie Pope,58,Repeat Customer,69188.52,1192.91,23.0000,1334
65017,Cesar Cain,79,Repeat Customer,62375.44,789.56,17.0000,1343
67670,Rosemary Webb,71,Repeat Customer,62598.12,881.66,18.0000,1278
28353,Tim Gibbs,80,Repeat Customer,29503.33,368.79,8.0000,640
29082,Xavier Yu,66,Repeat Customer,29259.07,443.32,8.0000,528
33133,Lakesha Young,83,Repeat Customer,39648.92,477.70,9.0000,747
19310,Nicholas Murillo,62,Repeat Customer,16113.84,259.90,5.0000,310
91867,Shelly Hunt,62,Repeat Customer,71533.93,1153.77,24.0000,1488
14612,Andrew Clarke,68,Repeat Customer,12137.71,178.50,4.0000,272
96120,Hilary Thomas,59,Repeat Customer,65571.41,1111.38,25.0000,1475
2657,Celeste Dorsey,74,Repeat Customer,3641.75,49.21,1.0000,74
51200,Micheal Brock,70,Repeat Customer,44802.42,640.03,13.0000,910
91382,Marisol Kirk,68,Repeat Customer,79473.68,1168.73,24.0000,1632
23677,Javier Guerra,80,Repeat Customer,23904.73,298.81,6.0000,480
35389,Joanne Cherry,63,Repeat Customer,29228.49,463.94,9.0000,567
66030,Troy Ritter,56,Repeat Customer,43522.85,777.19,17.0000,952
45384,Kerry Wilcox,64,Repeat Customer,37652.73,588.32,12.0000,768
87577,Carlos Todd,68,Repeat Customer,70180.28,1032.06,23.0000,1564
14848,Tim Baird,68,Repeat Customer,13263.98,195.06,4.0000,272
45482,Deanna Morse,60,Repeat Customer,39396.19,656.60,12.0000,720
655,Walter Brady,70,Repeat Customer,3627.80,51.83,1.0000,70
77357,Tania Frey,64,Repeat Customer,62303.63,973.49,20.0000,1280
87441,Philip Flores,54,Repeat Customer,53791.72,996.14,23.0000,1242
47694,Angelica Sweeney,79,Repeat Customer,53692.81,679.66,13.0000,1027
43145,Kyle Rivers,54,Repeat Customer,28198.53,522.20,11.0000,594
17875,Julian Spence,65,Repeat Customer,15783.85,242.83,5.0000,325
75421,Albert Williams,58,Repeat Customer,63213.23,1089.88,20.0000,1160
19823,Adrienne Cabrera,68,Repeat Customer,20797.02,305.84,6.0000,408
