EmployeeID,EmployeeName,SalesMonth,NetRevenue,InvoiceCount,UnitsSold,MonthlyContributionShare
1,Nicole Fuller,2018-01,44404246.38,69633,904254,0.0431
1,Nicole Fuller,2018-02,40378877.61,63153,821194,0.0435
1,Nicole Fuller,2018-03,44948720.23,69825,910528,0.0435
1,Nicole Fuller,2018-04,42909054.32,67253,875665,0.0430
1,Nicole Fuller,2018-05,13120802.04,20614,267825,0.0438
1,Nicole Fuller,Unknown,1887773.01,2916,38278,0.0437
10,Jean Vang,2018-01,44665061.01,70161,910352,0.0433
10,Jean Vang,2018-02,40414730.95,63609,825241,0.0435
10,Jean Vang,2018-03,44307906.19,69353,903918,0.0429
10,Jean Vang,2018-04,43088429.86,67692,879655,0.0432
10,Jean Vang,2018-05,12964526.93,20228,264497,0.0432
10,Jean Vang,Unknown,1823742.77,2845,36610,0.0422
11,Sonya Dickson,2018-01,44828777.83,69914,911473,0.0435
11,Sonya Dickson,2018-02,40117772.07,62949,817463,0.0432
11,Sonya Dickson,2018-03,44470142.20,70072,909189,0.0431
11,Sonya Dickson,2018-04,43276210.61,67894,881005,0.0434
11,Sonya Dickson,2018-05,13049246.25,20402,265157,0.0435
11,Sonya Dickson,Unknown,1810283.37,2879,36864,0.0419
12,Lindsay Chen,2018-01,44897700.05,69698,905317,0.0436
12,Lindsay Chen,2018-02,40576362.07,63108,819874,0.0437
12,Lindsay Chen,2018-03,45121248.77,70077,910708,0.0437
12,Lindsay Chen,2018-04,43211732.00,67271,871283,0.0433
12,Lindsay Chen,2018-05,12945205.54,20094,259980,0.0432
12,Lindsay Chen,Unknown,1879196.10,2916,37729,0.0435
13,Katina Marks,2018-01,45110615.79,69658,910106,0.0438
13,Katina Marks,2018-02,40463466.95,63202,821031,0.0435
13,Katina Marks,2018-03,45146526.80,69822,908594,0.0437
13,Katina Marks,2018-04,43584077.12,67738,882272,0.0437
13,Katina Marks,2018-05,13133076.85,20213,263139,0.0438
13,Katina Marks,Unknown,1875163.86,2897,37982,0.0434
14,Wendi Buckley,2018-01,44828163.06,69752,908193,0.0435
14,Wendi Buckley,2018-02,40492383.51,63087,819370,0.0436
14,Wendi Buckley,2018-03,44834332.71,69681,907531,0.0434
14,Wendi Buckley,2018-04,43754677.38,67911,882805,0.0439
14,Wendi Buckley,2018-05,13130415.93,20505,264875,0.0438
14,Wendi Buckley,Unknown,2022223.98,3099,40714,0.0468
15,Kari Finley,2018-01,44710708.96,69929,907366,0.0434
15,Kari Finley,2018-02,40089661.53,62949,817275,0.0431
15,Kari Finley,2018-03,45082270.40,70317,913083,0.0437
15,Kari Finley,2018-04,43149919.01,67660,877088,0.0433
15,Kari Finley,2018-05,12991530.96,20217,263049,0.0433
15,Kari Finley,Unknown,1907787.02,3024,39417,0.0442
16,Chadwick Walton,2018-01,44447672.42,69559,903157,0.0431
16,Chadwick Walton,2018-02,40379553.42,63167,821808,0.0435
16,Chadwick Walton,2018-03,44789772.58,70161,911401,0.0434
16,Chadwick Walton,2018-04,43266082.58,67618,879045,0.0434
16,Chadwick Walton,2018-05,12937279.75,20188,263188,0.0431
16,Chadwick Walton,Unknown,1959465.39,2992,39231,0.0454
17,Seth Franco,2018-01,44092025.84,69239,898413,0.0428
17,Seth Franco,2018-02,40223571.20,63080,817699,0.0433
17,Seth Franco,2018-03,44661730.43,69989,909057,0.0433
17,Seth Franco,2018-04,42695051.43,67188,869182,0.0428
17,Seth Franco,2018-05,12680843.94,19996,259522,0.0423
17,Seth Franco,Unknown,1967199.65,3029,39967,0.0455
18,Warren Bartlett,2018-01,44894700.11,70181,912278,0.0436
18,Warren Bartlett,2018-02,40213891.48,63271,819697,0.0433
18,Warren Bartlett,2018-03,44826142.36,69688,910007,0.0434
18,Warren Bartlett,2018-04,43627782.11,68185,889964,0.0437
18,Warren Bartlett,2018-05,12916775.50,20302,263516,0.0431
18,Warren Bartlett,Unknown,1738960.97,2792,36152,0.0403
19,Bernard Moody,2018-01,44529776.44,69675,906067,0.0432
19,Bernard Moody,2018-02,40654764.92,63412,824129,0.0438
19,Bernard Moody,2018-03,44866155.72,70032,909833,0.0435
19,Bernard Moody,2018-04,43434813.10,67527,880011,0.0436
19,Bernard Moody,2018-05,13017769.17,20230,264096,0.0434
19,Bernard Moody,Unknown,1954800.26,2999,38795,0.0452
2,Christine Palmer,2018-01,44492665.45,69692,906863,0.0432
2,Christine Palmer,2018-02,40295615.59,63229,823149,0.0434
2,Christine Palmer,2018-03,44885746.41,69974,910436,0.0435
2,Christine Palmer,2018-04,43339192.57,67669,881901,0.0435
2,Christine Palmer,2018-05,12871258.12,20158,261380,0.0429
2,Christine Palmer,Unknown,1957197.05,3015,39857,0.0453
20,Shelby Riddle,2018-01,45301912.06,70006,909260,0.0440
20,Shelby Riddle,2018-02,40759999.21,63048,820661,0.0439
20,Shelby Riddle,2018-03,44963993.77,69895,908417,0.0436
20,Shelby Riddle,2018-04,43392677.85,67388,877772,0.0435
20,Shelby Riddle,2018-05,13163492.76,20332,265616,0.0439
20,Shelby Riddle,Unknown,1831060.79,2893,37097,0.0424
21,Devon Brewer,2018-01,45394896.98,70183,916711,0.0440
21,Devon Brewer,2018-02,40177075.56,62988,816835,0.0432
